timestamp,balance,open_positions
2025-12-28 04:00:00,1000.0,0
2025-12-29 20:00:00,1000.0,0
2025-12-31 12:00:00,1000.0,0
2026-01-02 04:00:00,1000.0,0
2026-01-03 20:00:00,1000.0,0
2026-01-05 12:00:00,1000.0,4
2026-01-07 04:00:00,985.0062590280685,4
2026-01-08 20:00:00,926.2972382702956,0
2026-01-10 12:00:00,912.6895485477548,4
2026-01-12 04:00:00,899.0029330647664,4
2026-01-13 20:00:00,942.3241405461732,0
2026-01-15 12:00:00,899.9577895780589,1
2026-01-17 04:00:00,886.3000410827327,4
2026-01-18 20:00:00,847.0711049050159,1
2026-01-20 12:00:00,834.6077613820551,1
2026-01-22 04:00:00,834.6077613820551,3
2026-01-23 20:00:00,834.6077613820551,4
2026-01-25 12:00:00,834.6077613820551,4
2026-01-27 04:00:00,834.6077613820551,4
2026-01-28 20:00:00,834.6077613820551,4
2026-01-30 12:00:00,919.7283957938889,4
2026-02-01 04:00:00,1028.617147459793,0
2026-02-02 20:00:00,1028.617147459793,4
2026-02-04 12:00:00,1013.1997180639453,4
2026-02-06 04:00:00,1125.88181188917,2
2026-02-07 20:00:00,1125.88181188917,4
2026-02-09 12:00:00,1125.88181188917,4
2026-02-11 04:00:00,1125.88181188917,4
2026-02-12 20:00:00,1125.88181188917,4
2026-02-14 12:00:00,1108.9988081708627,3
2026-02-16 04:00:00,1108.9988081708627,4
2026-02-17 20:00:00,1108.9988081708627,4
2026-02-19 12:00:00,1159.2591366785043,3
2026-02-21 04:00:00,1159.2591366785043,4
2026-02-22 20:00:00,1159.2591366785043,4
2026-02-24 12:00:00,1141.8758504335315,4
2026-02-26 04:00:00,1107.8627422060767,2
2026-02-27 20:00:00,1107.8627422060767,4
2026-03-01 12:00:00,1107.8627422060767,4
2026-03-03 04:00:00,1107.8627422060767,4
2026-03-04 20:00:00,1074.6284592279258,2
2026-03-06 12:00:00,1058.525746854542,3
2026-03-08 04:00:00,1042.4093287932876,3
2026-03-09 20:00:00,1026.7779620417011,2
2026-03-11 12:00:00,1026.7779620417011,4
2026-03-13 04:00:00,1026.7779620417011,4
2026-03-14 20:00:00,1026.7779620417011,4
2026-03-16 12:00:00,1066.258821737617,4
2026-03-18 04:00:00,1066.258821737617,4
2026-03-19 20:00:00,1003.9591736347081,2
2026-03-21 12:00:00,1003.9591736347081,4
2026-03-23 04:00:00,988.9180686388262,4
2026-03-24 20:00:00,974.0869621615875,4
2026-03-26 12:00:00,959.0372811344865,3
2026-03-28 04:00:00,959.0372811344865,4
2026-03-29 20:00:00,959.0372811344865,4
2026-03-31 12:00:00,959.0372811344865,4
2026-04-02 04:00:00,930.6438194852317,4
2026-04-03 20:00:00,930.6438194852317,4
2026-04-05 12:00:00,930.6438194852317,4
2026-04-07 04:00:00,916.68842359263,3
2026-04-08 20:00:00,916.68842359263,4
2026-04-10 12:00:00,948.5717999336007,4
2026-04-12 04:00:00,920.6148512480535,3
2026-04-13 20:00:00,920.6148512480535,4
2026-04-15 12:00:00,920.6148512480535,4
2026-04-17 04:00:00,890.6051799034669,2
2026-04-18 20:00:00,863.92161445713,2
2026-04-20 12:00:00,838.6674190002915,2
2026-04-22 04:00:00,838.6674190002915,4
2026-04-23 20:00:00,838.6674190002915,4
2026-04-25 12:00:00,871.0075275143645,3
2026-04-27 04:00:00,905.5979862369123,3
2026-04-28 20:00:00,893.0412664076367,4
2026-04-30 12:00:00,866.0673163121655,2
2026-05-02 04:00:00,852.2583832921265,4
2026-05-03 20:00:00,839.2691912164798,4
2026-05-05 12:00:00,871.5295671286798,4
2026-05-07 04:00:00,888.9564748052861,4
2026-05-08 20:00:00,944.5586538627124,4
2026-05-10 12:00:00,944.5586538627124,4
2026-05-12 04:00:00,1003.7787798205508,4
2026-05-13 20:00:00,994.491319665676,1
2026-05-15 12:00:00,964.6734425386876,2
2026-05-17 04:00:00,949.7564917176215,2
2026-05-18 20:00:00,936.7689720355548,3
2026-05-20 12:00:00,936.7689720355548,4
2026-05-22 04:00:00,946.9424269000066,4
2026-05-23 20:00:00,939.9803364432997,2
2026-05-25 12:00:00,939.9803364432997,4
2026-05-27 04:00:00,977.2700773913566,4
2026-05-28 20:00:00,962.6127235623007,4
2026-05-30 12:00:00,985.0365335082855,4
2026-06-01 04:00:00,985.0365335082855,4
2026-06-02 20:00:00,1059.0708886171365,3
2026-06-04 12:00:00,1028.4151721028472,3
2026-06-06 04:00:00,1047.5046261629354,3
2026-06-07 20:00:00,1047.5046261629354,4
2026-06-09 12:00:00,1047.5046261629354,4
2026-06-11 04:00:00,1047.5046261629354,4
2026-06-12 20:00:00,1047.5046261629354,4
2026-06-14 12:00:00,1031.5623910871914,3
